sub_region_2,sub_region_1,Retail/recreation,Workplace,Transit,Grocery/pharmacy,city
Baltimore,Maryland,-41.766666666666666,-48.766666666666666,-40.733333333333334,-19.066666666666666,Baltimore
Cook County,Illinois,-48.1,-52.8,-60.3,-16.833333333333332,Chicago
Hamilton County,Tennessee,-37.03333333333333,-43.0,-36.4,-8.766666666666667,Chattanooga
Los Angeles County,California,-51.766666666666666,-48.56666666666667,-52.6,-22.066666666666666,Los Angeles
Philadelphia County,Pennsylvania,-50.96666666666667,-54.3,-59.2,-21.566666666666666,Philadelphia
Pulaski County,Arkansas,-30.5,-37.56666666666667,-32.46666666666667,-4.7,Little Rock
St. Louis,Missouri,-47.43333333333333,-49.666666666666664,-36.233333333333334,-7.233333333333333,St. Louis
Wayne County,Michigan,-50.833333333333336,-58.166666666666664,-56.86666666666667,-19.9,Detroit
